year,slug_game,country_3_letter_code_x,bronze_medals,gold_medals,silver_medals,total_medals,total_athletes,avg_age_athletes,medals_in_current_year,city,season,game_name,cumulative_medals,is_host
1956,melbourne-1956,ITA,9,8,7,24,53,23.96153846153846,5,"Australia, Sweden",Summer,Melbourne 1956,271.0,0
1956,melbourne-1956,ITA,9,8,7,24,53,23.96153846153846,24,"Australia, Sweden",Summer,Melbourne 1956,276.0,0
1960,rome-1960,ITA,13,14,11,38,103,26.349056603773583,38,Italy,Summer,Rome 1960,300.0,1
1960,rome-1960,ITA,13,14,11,38,103,26.349056603773583,1,Italy,Summer,Rome 1960,338.0,1
1960,squaw-valley-1960,ITA,1,0,0,1,28,24.703703703703702,38,United States,Winter,Squaw Valley 1960,339.0,0
1960,squaw-valley-1960,ITA,1,0,0,1,28,24.703703703703702,1,United States,Winter,Squaw Valley 1960,377.0,0
1964,innsbruck-1964,ITA,5,0,2,7,35,25.641509433962263,7,Austria,Winter,Innsbruck 1964,378.0,0
1964,innsbruck-1964,ITA,5,0,2,7,35,25.641509433962263,28,Austria,Winter,Innsbruck 1964,385.0,0
1964,tokyo-1964,ITA,7,11,10,28,73,25.556962025316455,7,Japan,Summer,Tokyo 1964,413.0,0
1964,tokyo-1964,ITA,7,11,10,28,73,25.556962025316455,28,Japan,Summer,Tokyo 1964,420.0,0
1968,grenoble-1968,ITA,0,5,0,5,33,25.321428571428573,5,France,Winter,Grenoble 1968,448.0,0
1968,grenoble-1968,ITA,0,5,0,5,33,25.321428571428573,17,France,Winter,Grenoble 1968,453.0,0
1968,mexico-city-1968,ITA,10,3,4,17,88,25.71276595744681,5,Mexico,Summer,Mexico City 1968,470.0,0
1968,mexico-city-1968,ITA,10,3,4,17,88,25.71276595744681,17,Mexico,Summer,Mexico City 1968,475.0,0
1972,munich-1972,ITA,10,5,3,18,83,27.556818181818183,18,Federal Republic of Germany,Summer,Munich 1972,492.0,0
1972,munich-1972,ITA,10,5,3,18,83,27.556818181818183,6,Federal Republic of Germany,Summer,Munich 1972,510.0,0
1972,sapporo-1972,ITA,1,3,2,6,31,26.175,18,Japan,Winter,Sapporo 1972,516.0,0
1972,sapporo-1972,ITA,1,3,2,6,31,26.175,6,Japan,Winter,Sapporo 1972,534.0,0
1976,innsbruck-1976,ITA,1,1,2,4,39,23.966666666666665,4,Austria,Winter,Innsbruck 1976,540.0,0
1976,innsbruck-1976,ITA,1,1,2,4,39,23.966666666666665,13,Austria,Winter,Innsbruck 1976,544.0,0
1976,montreal-1976,ITA,4,2,7,13,92,27.451612903225808,4,Canada,Summer,Montreal 1976,557.0,0
1976,montreal-1976,ITA,4,2,7,13,92,27.451612903225808,13,Canada,Summer,Montreal 1976,561.0,0
1980,lake-placid-1980,ITA,0,0,3,3,37,24.372549019607842,3,United States,Winter,Lake Placid 1980,574.0,0
1980,lake-placid-1980,ITA,0,0,3,3,37,24.372549019607842,16,United States,Winter,Lake Placid 1980,577.0,0
1980,moscow-1980,ITA,5,8,3,16,73,25.324675324675326,3,USSR,Summer,Moscow 1980,593.0,0
1980,moscow-1980,ITA,5,8,3,16,73,25.324675324675326,16,USSR,Summer,Moscow 1980,596.0,0
1984,los-angeles-1984,ITA,13,14,6,33,131,24.104575163398692,33,United States,Summer,Los Angeles 1984,612.0,0
1984,los-angeles-1984,ITA,13,14,6,33,131,24.104575163398692,2,United States,Summer,Los Angeles 1984,645.0,0
1984,sarajevo-1984,ITA,0,2,0,2,40,24.253968253968253,33,Yugoslavia,Winter,Sarajevo 1984,647.0,0
1984,sarajevo-1984,ITA,0,2,0,2,40,24.253968253968253,2,Yugoslavia,Winter,Sarajevo 1984,680.0,0
1988,calgary-1988,ITA,2,2,1,5,44,25.08450704225352,5,Canada,Winter,Calgary 1988,682.0,0
1988,calgary-1988,ITA,2,2,1,5,44,25.08450704225352,14,Canada,Winter,Calgary 1988,687.0,0
1988,seoul-1988,ITA,4,6,4,14,121,24.899280575539567,5,Republic of Korea,Summer,Seoul 1988,701.0,0
1988,seoul-1988,ITA,4,6,4,14,121,24.899280575539567,14,Republic of Korea,Summer,Seoul 1988,706.0,0
1992,albertville-1992,ITA,5,4,6,15,65,25.118181818181817,15,France,Winter,Albertville 1992,720.0,0
1992,albertville-1992,ITA,5,4,6,15,65,25.118181818181817,20,France,Winter,Albertville 1992,735.0,0
1992,barcelona-1992,ITA,9,6,5,20,151,26.041420118343197,15,Spain,Summer,Barcelona 1992,755.0,0
1992,barcelona-1992,ITA,9,6,5,20,151,26.041420118343197,20,Spain,Summer,Barcelona 1992,770.0,0
1994,lillehammer-1994,ITA,9,8,6,23,66,25.733333333333334,23,Norway,Winter,Lillehammer 1994,790.0,0
1996,atlanta-1996,ITA,12,15,11,38,153,27.558823529411764,38,United States,Summer,Atlanta 1996,813.0,0
1998,nagano-1998,ITA,2,3,6,11,72,27.093220338983052,11,Japan,Winter,Nagano 1998,851.0,0
2000,sydney-2000,ITA,15,14,9,38,146,27.32278481012658,38,Australia,Summer,Sydney 2000,862.0,0
2002,salt-lake-city-2002,ITA,6,4,4,14,84,27.092105263157894,14,United States,Winter,Salt Lake City 2002,900.0,0
2004,athens-2004,ITA,12,10,12,34,144,27.515151515151516,34,Greece,Summer,Athens 2004,914.0,0
2006,turin-2006,ITA,8,5,0,13,102,27.327485380116958,13,Italy,Winter,Turin 2006,948.0,1
2008,beijing-2008,ITA,11,8,9,28,161,28.213483146067414,28,China,Summer,Beijing 2008,961.0,0
2010,vancouver-2010,ITA,3,1,1,5,88,27.915032679738562,5,Canada,Winter,Vancouver 2010,989.0,0
2012,london-2012,ITA,11,8,10,29,157,28.349112426035504,29,Great Britain,Summer,London 2012,994.0,0
2014,sochi-2014,ITA,6,0,2,8,92,27.062111801242235,8,Russian Federation,Winter,Sochi 2014,1023.0,0
2016,rio-2016,ITA,9,8,14,31,154,28.129411764705882,31,Brazil,Summer,Rio 2016,1031.0,0
2018,pyeongchang-2018,ITA,5,3,2,10,93,27.783625730994153,10,Republic of Korea,Winter,PyeongChang 2018,1062.0,0
2020,tokyo-2020,ITA,21,12,10,43,165,27.31791907514451,43,Japan,Summer,Tokyo 2020,1072.0,0
2022,beijing-2022,ITA,8,3,8,19,95,28.347560975609756,19,China,Winter,Beijing 2022,1115.0,0
1948,london-1948,JAM,0,1,2,3,12,25.166666666666668,3,Great Britain,Summer,London 1948,1134.0,0
1952,helsinki-1952,JAM,0,2,3,5,5,28.375,5,Finland,Summer,Helsinki 1952,3.0,0
1968,mexico-city-1968,JAM,0,0,1,1,9,23.625,1,Mexico,Summer,Mexico City 1968,8.0,0
1972,munich-1972,JAM,1,0,0,1,10,21.3,1,Federal Republic of Germany,Summer,Munich 1972,9.0,0
1976,montreal-1976,JAM,0,1,1,2,9,23.181818181818183,2,Canada,Summer,Montreal 1976,10.0,0
1980,moscow-1980,JAM,3,0,0,3,4,22.75,3,USSR,Summer,Moscow 1980,12.0,0
1984,los-angeles-1984,JAM,2,0,1,3,18,22.166666666666668,3,United States,Summer,Los Angeles 1984,15.0,0
1988,seoul-1988,JAM,0,0,2,2,16,26.5,2,Republic of Korea,Summer,Seoul 1988,18.0,0
1992,barcelona-1992,JAM,1,0,3,4,13,26.785714285714285,4,Spain,Summer,Barcelona 1992,20.0,0
1996,atlanta-1996,JAM,2,1,3,6,19,28.291666666666668,6,United States,Summer,Atlanta 1996,24.0,0
2000,sydney-2000,JAM,3,0,6,9,14,25.866666666666667,9,Australia,Summer,Sydney 2000,30.0,0
2004,athens-2004,JAM,2,2,1,5,20,24.636363636363637,5,Greece,Summer,Athens 2004,39.0,0
2008,beijing-2008,JAM,1,5,4,10,25,26.037037037037038,10,China,Summer,Beijing 2008,44.0,0
2012,london-2012,JAM,3,4,5,12,20,26.875,12,Great Britain,Summer,London 2012,54.0,0
2016,rio-2016,JAM,2,6,3,11,18,25.8,11,Brazil,Summer,Rio 2016,66.0,0
2020,tokyo-2020,JAM,4,4,1,9,21,27.608695652173914,9,Japan,Summer,Tokyo 2020,77.0,0
2016,rio-2016,JOR,0,1,0,1,8,24.5,1,Brazil,Summer,Rio 2016,86.0,0
2020,tokyo-2020,JOR,1,0,1,2,11,27.363636363636363,2,Japan,Summer,Tokyo 2020,1.0,0
1920,antwerp-1920,JPN,0,0,3,3,11,29.0,3,Belgium,Summer,Antwerp 1920,3.0,0
1924,paris-1924,JPN,1,0,0,1,14,22.4375,1,France,Summer,Paris 1924,3.0,0
1928,amsterdam-1928,JPN,1,2,2,5,26,22.666666666666668,5,Netherlands,Summer,Amsterdam 1928,4.0,0
1932,los-angeles-1932,JPN,4,7,7,18,65,21.52777777777778,18,United States,Summer,Los Angeles 1932,9.0,0
1936,berlin-1936,JPN,8,6,4,18,69,22.951612903225808,18,Germany,Summer,Berlin 1936,27.0,0
1952,helsinki-1952,JPN,2,1,6,9,42,24.85333333333333,9,Finland,Summer,Helsinki 1952,45.0,0
1956,cortina-d-ampezzo-1956,JPN,0,0,1,1,10,24.863636363636363,1,Italy,Winter,Cortina d'Ampezzo 1956,54.0,0
1956,cortina-d-ampezzo-1956,JPN,0,0,1,1,10,24.863636363636363,19,Italy,Winter,Cortina d'Ampezzo 1956,55.0,0
1956,melbourne-1956,JPN,5,4,10,19,54,24.441666666666666,1,"Australia, Sweden",Summer,Melbourne 1956,74.0,0
1956,melbourne-1956,JPN,5,4,10,19,54,24.441666666666666,19,"Australia, Sweden",Summer,Melbourne 1956,75.0,0
1960,rome-1960,JPN,7,4,7,18,72,24.969072164948454,18,Italy,Summer,Rome 1960,94.0,0
1964,tokyo-1964,JPN,8,16,5,29,117,25.28368794326241,29,Japan,Summer,Tokyo 1964,112.0,1
1968,mexico-city-1968,JPN,7,11,7,25,77,25.112244897959183,25,Mexico,Summer,Mexico City 1968,141.0,0
1972,munich-1972,JPN,8,13,8,29,81,25.682242990654206,29,Federal Republic of Germany,Summer,Munich 1972,166.0,0
1972,munich-1972,JPN,8,13,8,29,81,25.682242990654206,3,Federal Republic of Germany,Summer,Munich 1972,195.0,0
1972,sapporo-1972,JPN,1,1,1,3,56,24.21518987341772,29,Japan,Winter,Sapporo 1972,198.0,1
1972,sapporo-1972,JPN,1,1,1,3,56,24.21518987341772,3,Japan,Winter,Sapporo 1972,227.0,1
1976,montreal-1976,JPN,10,9,6,25,89,27.019801980198018,25,Canada,Summer,Montreal 1976,230.0,0
1980,lake-placid-1980,JPN,0,0,1,1,28,23.68,1,United States,Winter,Lake Placid 1980,255.0,0
1984,los-angeles-1984,JPN,15,10,8,33,134,24.680722891566266,33,United States,Summer,Los Angeles 1984,256.0,0
1984,los-angeles-1984,JPN,15,10,8,33,134,24.680722891566266,1,United States,Summer,Los Angeles 1984,289.0,0
1984,sarajevo-1984,JPN,0,0,1,1,32,23.163636363636364,33,Yugoslavia,Winter,Sarajevo 1984,290.0,0
1984,sarajevo-1984,JPN,0,0,1,1,32,23.163636363636364,1,Yugoslavia,Winter,Sarajevo 1984,323.0,0
1988,calgary-1988,JPN,1,0,0,1,41,24.43820224719101,1,Canada,Winter,Calgary 1988,324.0,0
1988,calgary-1988,JPN,1,0,0,1,41,24.43820224719101,15,Canada,Winter,Calgary 1988,325.0,0
1988,seoul-1988,JPN,8,4,3,15,152,25.379679144385026,1,Republic of Korea,Summer,Seoul 1988,340.0,0
1988,seoul-1988,JPN,8,4,3,15,152,25.379679144385026,15,Republic of Korea,Summer,Seoul 1988,341.0,0
1992,albertville-1992,JPN,4,1,2,7,50,24.0,7,France,Winter,Albertville 1992,356.0,0
1992,albertville-1992,JPN,4,1,2,7,50,24.0,23,France,Winter,Albertville 1992,363.0,0
1992,barcelona-1992,JPN,12,3,8,23,155,24.917525773195877,7,Spain,Summer,Barcelona 1992,386.0,0
1992,barcelona-1992,JPN,12,3,8,23,155,24.917525773195877,23,Spain,Summer,Barcelona 1992,393.0,0
1994,lillehammer-1994,JPN,2,1,2,5,53,24.297029702970296,5,Norway,Winter,Lillehammer 1994,416.0,0
1996,atlanta-1996,JPN,5,3,7,15,135,24.5875,15,United States,Summer,Atlanta 1996,421.0,0
1998,nagano-1998,JPN,4,5,1,10,85,25.083333333333332,10,Japan,Winter,Nagano 1998,436.0,1
2000,sydney-2000,JPN,5,5,9,19,132,25.74025974025974,19,Australia,Summer,Sydney 2000,446.0,0
2002,salt-lake-city-2002,JPN,1,0,1,2,88,26.784313725490197,2,United States,Winter,Salt Lake City 2002,465.0,0
2004,athens-2004,JPN,13,16,10,39,131,26.574074074074073,39,Greece,Summer,Athens 2004,467.0,0
2006,turin-2006,JPN,0,1,0,1,94,27.268115942028984,1,Italy,Winter,Turin 2006,506.0,0
2008,beijing-2008,JPN,9,9,8,26,141,26.29268292682927,26,China,Summer,Beijing 2008,507.0,0
2010,vancouver-2010,JPN,2,0,3,5,80,26.643478260869564,5,Canada,Winter,Vancouver 2010,533.0,0
2012,london-2012,JPN,17,7,15,39,160,25.982758620689655,39,Great Britain,Summer,London 2012,538.0,0
2014,sochi-2014,JPN,3,1,4,8,73,27.028846153846153,8,Russian Federation,Winter,Sochi 2014,577.0,0
2016,rio-2016,JPN,22,13,8,43,162,26.93048128342246,43,Brazil,Summer,Rio 2016,585.0,0
2018,pyeongchang-2018,JPN,4,4,5,13,84,26.563492063492063,13,Republic of Korea,Winter,PyeongChang 2018,628.0,0
2020,tokyo-2020,JPN,18,28,14,60,213,27.017467248908297,60,Japan,Summer,Tokyo 2020,641.0,1
2022,beijing-2022,JPN,9,3,6,18,88,26.438356164383563,18,China,Winter,Beijing 2022,701.0,0
1994,lillehammer-1994,KAZ,0,1,2,3,27,26.288888888888888,3,Norway,Winter,Lillehammer 1994,719.0,0
1996,atlanta-1996,KAZ,4,3,4,11,74,26.68918918918919,11,United States,Summer,Atlanta 1996,3.0,0
1998,nagano-1998,KAZ,2,0,0,2,31,28.05,2,Japan,Winter,Nagano 1998,14.0,0
2000,sydney-2000,KAZ,0,3,4,7,78,27.10126582278481,7,Australia,Summer,Sydney 2000,16.0,0
2004,athens-2004,KAZ,3,1,4,8,66,26.323943661971832,8,Greece,Summer,Athens 2004,23.0,0
2008,beijing-2008,KAZ,4,2,3,9,82,26.06382978723404,9,China,Summer,Beijing 2008,31.0,0
2010,vancouver-2010,KAZ,0,0,1,1,36,23.677419354838708,1,Canada,Winter,Vancouver 2010,40.0,0
2012,london-2012,KAZ,6,3,2,11,82,26.623529411764707,11,Great Britain,Summer,London 2012,41.0,0
2014,sochi-2014,KAZ,1,0,0,1,49,25.511627906976745,1,Russian Federation,Winter,Sochi 2014,52.0,0
2016,rio-2016,KAZ,10,3,5,18,76,26.341772151898734,18,Brazil,Summer,Rio 2016,53.0,0
2018,pyeongchang-2018,KAZ,1,0,0,1,41,25.835443037974684,1,Republic of Korea,Winter,PyeongChang 2018,71.0,0
2020,tokyo-2020,KAZ,8,0,0,8,69,27.33783783783784,8,Japan,Summer,Tokyo 2020,72.0,0
1964,tokyo-1964,KEN,1,0,0,1,16,26.058823529411764,1,Japan,Summer,Tokyo 1964,80.0,0
1968,mexico-city-1968,KEN,2,3,4,9,16,24.5,9,Mexico,Summer,Mexico City 1968,1.0,0
1972,munich-1972,KEN,4,2,3,9,27,27.037037037037038,9,Federal Republic of Germany,Summer,Munich 1972,10.0,0
1984,los-angeles-1984,KEN,2,1,0,3,29,26.2,3,United States,Summer,Los Angeles 1984,19.0,0
1988,seoul-1988,KEN,2,5,2,9,43,26.5,9,Republic of Korea,Summer,Seoul 1988,22.0,0
1992,barcelona-1992,KEN,2,2,4,8,32,27.90909090909091,8,Spain,Summer,Barcelona 1992,31.0,0
1996,atlanta-1996,KEN,3,1,4,8,36,26.181818181818183,8,United States,Summer,Atlanta 1996,39.0,0
2000,sydney-2000,KEN,2,2,3,7,32,24.181818181818183,7,Australia,Summer,Sydney 2000,47.0,0
2004,athens-2004,KEN,2,1,4,7,24,25.0,7,Greece,Summer,Athens 2004,54.0,0
2008,beijing-2008,KEN,6,6,4,16,40,25.1,16,China,Summer,Beijing 2008,61.0,0
2012,london-2012,KEN,6,2,4,12,34,26.0,12,Great Britain,Summer,London 2012,77.0,0
2016,rio-2016,KEN,1,6,6,13,41,27.5,13,Brazil,Summer,Rio 2016,89.0,0
2020,tokyo-2020,KEN,2,4,4,10,29,27.133333333333333,10,Japan,Summer,Tokyo 2020,102.0,0
2000,sydney-2000,KGZ,1,0,0,1,38,25.756756756756758,1,Australia,Summer,Sydney 2000,112.0,0
2008,beijing-2008,KGZ,2,0,1,3,16,24.210526315789473,3,China,Summer,Beijing 2008,1.0,0
2020,tokyo-2020,KGZ,1,0,2,3,14,24.428571428571427,3,Japan,Summer,Tokyo 2020,4.0,0
1948,london-1948,KOR,2,0,0,2,25,26.0,2,Great Britain,Summer,London 1948,7.0,0
1952,helsinki-1952,KOR,2,0,0,2,16,27.3,2,Finland,Summer,Helsinki 1952,2.0,0
1956,melbourne-1956,KOR,1,0,1,2,22,27.555555555555557,2,"Australia, Sweden",Summer,Melbourne 1956,4.0,0
1964,tokyo-1964,KOR,1,0,2,3,69,25.225,3,Japan,Summer,Tokyo 1964,6.0,0
1968,mexico-city-1968,KOR,1,0,1,2,32,25.31578947368421,2,Mexico,Summer,Mexico City 1968,9.0,0
1972,munich-1972,KOR,0,0,1,1,20,29.46153846153846,1,Federal Republic of Germany,Summer,Munich 1972,11.0,0
1976,montreal-1976,KOR,4,1,1,6,26,25.952380952380953,6,Canada,Summer,Montreal 1976,12.0,0
1984,los-angeles-1984,KOR,7,6,6,19,91,22.906666666666666,19,United States,Summer,Los Angeles 1984,18.0,0
1988,seoul-1988,KOR,12,13,10,35,165,22.16923076923077,35,Republic of Korea,Summer,Seoul 1988,37.0,1
1992,albertville-1992,KOR,1,2,1,4,21,20.696969696969695,4,France,Winter,Albertville 1992,72.0,0
1992,albertville-1992,KOR,1,2,1,4,21,20.696969696969695,35,France,Winter,Albertville 1992,76.0,0
1992,barcelona-1992,KOR,16,14,5,35,110,23.493827160493826,4,Spain,Summer,Barcelona 1992,111.0,0
1992,barcelona-1992,KOR,16,14,5,35,110,23.493827160493826,35,Spain,Summer,Barcelona 1992,115.0,0
1994,lillehammer-1994,KOR,1,4,1,6,20,20.642857142857142,6,Norway,Winter,Lillehammer 1994,150.0,0
1996,atlanta-1996,KOR,7,8,17,32,130,23.767676767676768,32,United States,Summer,Atlanta 1996,156.0,0
1998,nagano-1998,KOR,2,3,1,6,35,20.456521739130434,6,Japan,Winter,Nagano 1998,188.0,0
2000,sydney-2000,KOR,12,8,11,31,109,23.885057471264368,31,Australia,Summer,Sydney 2000,194.0,0
2002,salt-lake-city-2002,KOR,0,2,2,4,38,21.547169811320753,4,United States,Winter,Salt Lake City 2002,225.0,0
2004,athens-2004,KOR,10,10,14,34,128,23.963636363636365,34,Greece,Summer,Athens 2004,229.0,0
2006,turin-2006,KOR,2,6,3,11,35,22.137254901960784,11,Italy,Winter,Turin 2006,263.0,0
2008,beijing-2008,KOR,9,14,12,35,125,24.873873873873872,35,China,Summer,Beijing 2008,274.0,0
2010,vancouver-2010,KOR,2,6,6,14,38,23.48076923076923,14,Canada,Winter,Vancouver 2010,309.0,0
2012,london-2012,KOR,9,13,9,31,127,25.43859649122807,31,Great Britain,Summer,London 2012,323.0,0
2014,sochi-2014,KOR,2,3,3,8,51,24.30666666666667,8,Russian Federation,Winter,Sochi 2014,354.0,0
2016,rio-2016,KOR,10,9,3,22,118,25.925,22,Brazil,Summer,Rio 2016,362.0,0
2018,pyeongchang-2018,KOR,4,5,8,17,67,24.627450980392158,17,Republic of Korea,Winter,PyeongChang 2018,384.0,1
2020,tokyo-2020,KOR,11,7,4,22,111,26.295652173913044,22,Japan,Summer,Tokyo 2020,401.0,0
2022,beijing-2022,KOR,2,2,5,9,46,26.2987012987013,9,China,Winter,Beijing 2022,423.0,0
2016,rio-2016,KOS,0,1,0,1,6,24.833333333333332,1,Brazil,Summer,Rio 2016,432.0,0
2020,tokyo-2020,KOS,0,2,0,2,8,26.5,2,Japan,Summer,Tokyo 2020,1.0,0
2000,sydney-2000,KSA,1,0,1,2,8,29.166666666666668,2,Australia,Summer,Sydney 2000,3.0,0
2012,london-2012,KSA,1,0,0,1,11,31.8,1,Great Britain,Summer,London 2012,2.0,0
2020,tokyo-2020,KSA,0,0,1,1,8,27.75,1,Japan,Summer,Tokyo 2020,3.0,0
2000,sydney-2000,KUW,1,0,0,1,9,26.5,1,Australia,Summer,Sydney 2000,4.0,0
2012,london-2012,KUW,1,0,0,1,8,32.0,1,Great Britain,Summer,London 2012,1.0,0
2020,tokyo-2020,KUW,1,0,0,1,6,36.714285714285715,1,Japan,Summer,Tokyo 2020,2.0,0
1932,los-angeles-1932,LAT,0,0,1,1,2,27.0,1,United States,Summer,Los Angeles 1932,3.0,0
1936,berlin-1936,LAT,1,0,1,2,17,29.142857142857142,2,Germany,Summer,Berlin 1936,1.0,0
1992,barcelona-1992,LAT,1,0,2,3,25,26.32,3,Spain,Summer,Barcelona 1992,3.0,0
1996,atlanta-1996,LAT,0,0,1,1,32,27.941176470588236,1,United States,Summer,Atlanta 1996,6.0,0
2000,sydney-2000,LAT,1,1,1,3,33,27.575,3,Australia,Summer,Sydney 2000,7.0,0
2004,athens-2004,LAT,0,0,4,4,24,27.392857142857142,4,Greece,Summer,Athens 2004,10.0,0
2006,turin-2006,LAT,1,0,0,1,23,26.680851063829788,1,Italy,Winter,Turin 2006,14.0,0
2008,beijing-2008,LAT,1,1,1,3,21,26.52173913043478,3,China,Summer,Beijing 2008,15.0,0
2010,vancouver-2010,LAT,0,0,3,3,23,26.261904761904763,3,Canada,Winter,Vancouver 2010,18.0,0
2012,london-2012,LAT,2,1,0,3,30,24.96551724137931,3,Great Britain,Summer,London 2012,21.0,0
2014,sochi-2014,LAT,5,1,1,7,20,25.394736842105264,7,Russian Federation,Winter,Sochi 2014,24.0,0
2018,pyeongchang-2018,LAT,2,0,0,2,21,26.194444444444443,2,Republic of Korea,Winter,PyeongChang 2018,31.0,0
2020,tokyo-2020,LAT,1,1,0,2,18,28.45,2,Japan,Summer,Tokyo 2020,33.0,0
2022,beijing-2022,LAT,1,0,0,1,23,25.92105263157895,1,China,Winter,Beijing 2022,35.0,0
1952,helsinki-1952,LBN,1,0,1,2,9,30.375,2,Finland,Summer,Helsinki 1952,36.0,0
1972,munich-1972,LBN,0,0,1,1,16,27.733333333333334,1,Federal Republic of Germany,Summer,Munich 1972,2.0,0
1980,moscow-1980,LBN,1,0,0,1,12,18.9,1,USSR,Summer,Moscow 1980,3.0,0
1976,innsbruck-1976,LIE,2,0,0,2,9,19.647058823529413,2,Austria,Winter,Innsbruck 1976,4.0,0
1980,lake-placid-1980,LIE,0,2,2,4,7,21.785714285714285,4,United States,Winter,Lake Placid 1980,2.0,0
1984,sarajevo-1984,LIE,2,0,0,2,10,22.533333333333335,2,Yugoslavia,Winter,Sarajevo 1984,6.0,0
1988,calgary-1988,LIE,1,0,0,1,13,24.75862068965517,1,Canada,Winter,Calgary 1988,8.0,0
2018,pyeongchang-2018,LIE,1,0,0,1,3,25.444444444444443,1,Republic of Korea,Winter,PyeongChang 2018,9.0,0
1992,barcelona-1992,LTU,1,1,0,2,21,24.6,2,Spain,Summer,Barcelona 1992,10.0,0
1996,atlanta-1996,LTU,1,0,0,1,40,25.68,1,United States,Summer,Atlanta 1996,2.0,0
2000,sydney-2000,LTU,4,2,0,6,27,25.323529411764707,6,Australia,Summer,Sydney 2000,3.0,0
2004,athens-2004,LTU,0,1,2,3,34,26.23076923076923,3,Greece,Summer,Athens 2004,9.0,0
2008,beijing-2008,LTU,2,0,3,5,47,27.102040816326532,5,China,Summer,Beijing 2008,12.0,0
2012,london-2012,LTU,3,2,0,5,41,27.11111111111111,5,Great Britain,Summer,London 2012,17.0,0
2016,rio-2016,LTU,5,0,2,7,40,27.34090909090909,7,Brazil,Summer,Rio 2016,22.0,0
2020,tokyo-2020,LTU,0,0,1,1,22,30.36,1,Japan,Summer,Tokyo 2020,29.0,0
1900,paris-1900,LUX,0,1,0,1,1,22.0,1,France,Summer,Paris 1900,30.0,0
1920,antwerp-1920,LUX,0,0,1,1,5,,1,Belgium,Summer,Antwerp 1920,1.0,0
1952,helsinki-1952,LUX,0,1,0,1,20,26.910714285714285,1,Finland,Summer,Helsinki 1952,2.0,0
1992,albertville-1992,LUX,0,0,2,2,1,29.0,2,France,Winter,Albertville 1992,3.0,0
1960,rome-1960,MAR,0,0,1,1,32,24.7,1,Italy,Summer,Rome 1960,5.0,0
1984,los-angeles-1984,MAR,0,2,0,2,18,21.333333333333332,2,United States,Summer,Los Angeles 1984,1.0,0
1988,seoul-1988,MAR,2,1,0,3,22,23.058823529411764,3,Republic of Korea,Summer,Seoul 1988,3.0,0
1992,barcelona-1992,MAR,1,1,1,3,23,25.545454545454547,3,Spain,Summer,Barcelona 1992,6.0,0
1996,atlanta-1996,MAR,2,0,0,2,29,26.32,2,United States,Summer,Atlanta 1996,9.0,0
2000,sydney-2000,MAR,4,0,1,5,23,25.347826086956523,5,Australia,Summer,Sydney 2000,11.0,0
2004,athens-2004,MAR,0,2,1,3,29,27.185185185185187,3,Greece,Summer,Athens 2004,16.0,0
2008,beijing-2008,MAR,1,0,1,2,32,27.727272727272727,2,China,Summer,Beijing 2008,19.0,0
2012,london-2012,MAR,1,0,0,1,35,28.0,1,Great Britain,Summer,London 2012,21.0,0
2016,rio-2016,MAR,1,0,0,1,35,26.88888888888889,1,Brazil,Summer,Rio 2016,22.0,0
2020,tokyo-2020,MAR,0,1,0,1,33,28.272727272727273,1,Japan,Summer,Tokyo 2020,23.0,0
1992,barcelona-1992,MAS,2,0,0,2,5,25.0,2,Spain,Summer,Barcelona 1992,24.0,0
1996,atlanta-1996,MAS,1,0,2,3,14,21.625,3,United States,Summer,Atlanta 1996,2.0,0
2008,beijing-2008,MAS,0,0,1,1,23,23.071428571428573,1,China,Summer,Beijing 2008,5.0,0
2012,london-2012,MAS,1,0,1,2,22,23.227272727272727,2,Great Britain,Summer,London 2012,6.0,0
2016,rio-2016,MAS,1,0,7,8,22,24.28,8,Brazil,Summer,Rio 2016,8.0,0
2020,tokyo-2020,MAS,2,0,1,3,15,26.941176470588236,3,Japan,Summer,Tokyo 2020,16.0,0
1996,atlanta-1996,MDA,1,0,2,3,33,24.81081081081081,3,United States,Summer,Atlanta 1996,19.0,0
2000,sydney-2000,MDA,1,0,1,2,24,25.2,2,Australia,Summer,Sydney 2000,3.0,0
2008,beijing-2008,MDA,1,0,0,1,20,28.142857142857142,1,China,Summer,Beijing 2008,5.0,0
2020,tokyo-2020,MDA,1,0,0,1,15,23.4,1,Japan,Summer,Tokyo 2020,6.0,0
1932,los-angeles-1932,MEX,0,0,2,2,47,23.25,2,United States,Summer,Los Angeles 1932,7.0,0
1936,berlin-1936,MEX,3,0,0,3,14,26.833333333333332,3,Germany,Summer,Berlin 1936,2.0,0
1948,london-1948,MEX,2,2,1,5,48,27.714285714285715,5,Great Britain,Summer,London 1948,5.0,0
1952,helsinki-1952,MEX,0,0,1,1,36,25.25,1,Finland,Summer,Helsinki 1952,10.0,0
1956,melbourne-1956,MEX,1,1,0,2,17,27.6875,2,"Australia, Sweden",Summer,Melbourne 1956,11.0,0
1960,rome-1960,MEX,1,0,0,1,28,25.566666666666666,1,Italy,Summer,Rome 1960,13.0,0
1964,tokyo-1964,MEX,1,0,0,1,42,27.25581395348837,1,Japan,Summer,Tokyo 1964,14.0,0
1968,mexico-city-1968,MEX,3,3,3,9,96,24.98230088495575,9,Mexico,Summer,Mexico City 1968,15.0,1
1972,munich-1972,MEX,0,0,1,1,69,27.095890410958905,1,Federal Republic of Germany,Summer,Munich 1972,24.0,0
